"","symbol","log2FoldChange","pvalue","padj"
"ENSG00000163171","CDC42EP3",1.5056623420349,7.23231244319789e-48,1.61779597041894e-43
"ENSG00000141401","IMPA2",2.32689731907438,1.82092154652656e-47,4.07321940742527e-43
"ENSG00000103742","IGDCC4",-2.1972132167437,1.84330782551932e-47,4.12329527490418e-43
"ENSG00000112837","TBX18",-1.8335493005585,1.0280260047363e-46,2.29959136999462e-42
"ENSG00000164647","STEAP1",1.56742395092804,2.82077813461622e-46,6.30979860932302e-42
"ENSG00000068383","INPP5A",1.38114294779021,9.88360692272363e-46,2.21086403254405e-41
"ENSG00000156675","RAB11FIP1",1.54727945997217,3.89667547893833e-45,8.71647337883716e-41
"ENSG00000136999","CCN3",-2.55243676364824,2.00934940050695e-44,4.49471367399399e-40
"ENSG00000206538","VGLL3",1.36625068710959,9.30500519335184e-44,2.08143661170087e-39
"ENSG00000196517","SLC6A9",-2.22911280249553,9.34615503110668e-44,2.09064141890825e-39
"ENSG00000227051","C14orf132",-1.15108763737765,1.82607517715309e-43,4.08474756377374e-39
"ENSG00000134363","FST",-1.8075329340147,3.47976321709551e-43,7.78388234032095e-39
"ENSG00000109906","ZBTB16",7.35265852969059,9.14254824786088e-43,2.045096617564e-38
"ENSG00000149218","ENDOD1",1.9264481156239,1.01070057933238e-42,2.2608361259086e-38
"ENSG00000124762","CDKN1A",-1.00795282666911,1.38208905317757e-42,3.09159500305291e-38
"ENSG00000167641","PPP1R14A",2.89643839486043,1.61831703179546e-42,3.62001336842327e-38
"ENSG00000185432","TMT1A",2.24939427480604,2.14899846313835e-42,4.80709466219418e-38
"ENSG00000163378","EOGT",1.26187534834031,4.06118485289086e-42,9.08446439743157e-38
"ENSG00000126016","AMOT",-2.37421103682809,5.68594419207204e-42,1.2718888563246e-37
"ENSG00000106484","MEST",-1.86373727231735,5.98125634243647e-42,1.33794723123961e-37
"ENSG00000196975","ANXA4",1.18510396012487,1.21224148542866e-41,2.71166297875537e-37
"ENSG00000150907","FOXO1",2.22787306603076,1.3881469483506e-41,3.10514590876545e-37
"ENSG00000151726","ACSL1",1.6025246167622,1.49879968855867e-41,3.35266502333689e-37
"ENSG00000130513","GDF15",-1.86848594910836,1.52060265314152e-41,3.40143607481226e-37
"ENSG00000221869","CEBPD",1.4998615203004,3.5077287823795e-41,7.84643851330469e-37
"ENSG00000169715","MT1E",2.22519867849697,1.18167947355059e-40,2.64329881438532e-36
"ENSG00000145390","USP53",2.14752835959397,4.00660069962535e-40,8.96236510499194e-36
"ENSG00000147027","TMEM47",1.16478239516344,4.33850263277399e-40,9.70479653925214e-36
"ENSG00000185950","IRS2",2.12426467798547,4.95643040318487e-40,1.10870391688842e-35
"ENSG00000013293","SLC7A14",-2.88282474109638,5.85203664655293e-40,1.30904207746742e-35
"ENSG00000131831","RAI2",1.42845384290819,2.74584351314751e-39,6.14217735455967e-35
"ENSG00000137672","TRPC6",1.95433538376628,8.41675356707777e-39,1.88274360541963e-34
"ENSG00000146122","DAAM2",1.68146886185906,1.11214656257428e-38,2.4877606458224e-34
"ENSG00000020577","SAMD4A",1.20333778253203,2.28948062360377e-38,5.12133920693928e-34
"ENSG00000119138","KLF9",2.08295472268108,2.37495823598253e-38,5.31254407806932e-34
"ENSG00000163110","PDLIM5",1.60548666998471,3.11152579556855e-38,6.96017205210729e-34
"ENSG00000138735","PDE5A",-1.17880299898246,5.06626535445484e-38,1.133272897138e-33
"ENSG00000071282","LMCD1",1.60529985112349,1.06873715451432e-37,2.39065814093307e-33
"ENSG00000101825","MXRA5",-1.32373486159025,2.43738741709676e-37,5.45219191330374e-33
"ENSG00000162407","PLPP3",-1.00143162319794,5.89353928487146e-37,1.3183258026329e-32
"ENSG00000246430","LINC00968",2.05124374572683,8.36512345449486e-37,1.87119446553595e-32
"ENSG00000163513","TGFBR2",1.45841245433212,1.0156306062925e-36,2.2718641032157e-32
"ENSG00000163431","LMOD1",1.16354230317644,1.69186898116972e-36,3.78454172397856e-32
"ENSG00000046653","GPM6B",2.3961436929629,2.43440260590056e-36,5.44551518913896e-32
"ENSG00000099998","GGT5",2.38094332678335,3.6781763222011e-36,8.22771261513165e-32
"ENSG00000106617","PRKAG2",1.61673119670987,3.89248865499293e-36,8.70710787235368e-32
"ENSG00000137809","ITGA11",-1.72108898429588,5.34083004543001e-36,1.19469027286224e-31
"ENSG00000115457","IGFBP2",2.21410637004643,1.30346688455459e-34,2.91572507406016e-30
"ENSG00000160200","CBS",1.24280152914045,5.9048332142707e-34,1.32085214170021e-29
"ENSG00000214814","FER1L6",-3.05958686157843,6.73365259102075e-34,1.50625074808543e-29
"ENSG00000162772","ATF3",1.91920235452617,1.16721911914955e-33,2.61095244762563e-29
"ENSG00000128923","MINDY2",1.03826479474374,1.42236843150061e-33,3.18169594442371e-29
"ENSG00000174306","ZHX3",1.13102954742889,1.4805063922719e-33,3.31174474887302e-29
"ENSG00000119508","NR4A3",2.07787320051085,1.62630813966736e-33,3.63788867762192e-29
"ENSG00000123562","MORF4L2",1.02810240111312,2.25195037501561e-33,5.03738779387243e-29
"ENSG00000125868","DSTN",0.916740254773882,3.62426722510502e-33,8.10712335583743e-29
"ENSG00000145777","TSLP",-2.78280737500403,3.80924131487826e-33,8.52089189725117e-29
"ENSG00000173918","C1QTNF1",1.25342675759414,4.27942891849902e-33,9.57265454779045e-29
"ENSG00000164125","GASK1B",1.12469293368262,4.97125953462772e-33,1.11202104530088e-28
"ENSG00000114098","ARMC8",1.34637083674888,6.56245426570404e-33,1.46795539469534e-28
"ENSG00000109861","CTSC",1.01827611276371,9.44673753877346e-33,2.11314072004824e-28
"ENSG00000077684","JADE1",1.20032132095717,1.69789511909399e-32,3.79802159190136e-28
"ENSG00000114270","COL7A1",1.23340820934696,2.14616271176338e-32,4.8007513699435e-28
"ENSG00000139289","PHLDA1",-0.992017158504802,2.16981669964651e-32,4.85366297543928e-28
"ENSG00000103485","QPRT",-1.21212857415631,3.14909390873803e-32,7.0442081644561e-28
"ENSG00000138829","FBN2",1.91934835764839,9.4089144257541e-32,2.10468006789694e-27
"ENSG00000164442","CITED2",1.54985343192054,9.46232090572836e-32,2.11662656340238e-27
"ENSG00000110756","HPS5",1.57645796895903,1.15106277990515e-31,2.57481233236983e-27
"ENSG00000155130",NA,-1.1916670412628,1.20053165505489e-31,2.68546925919229e-27
"ENSG00000144369","FAM171B",-1.34801502725895,1.98484221940542e-31,4.43989356058799e-27
"ENSG00000143320","CRABP2",-1.63664566330191,2.3856896274781e-31,5.33654912770575e-27
"ENSG00000181467","RAP2B",-1.27267144048774,5.99560225701561e-31,1.34115626887182e-26
"ENSG00000196507","TCEAL3",1.05502295084417,2.23450411888237e-30,4.99836226352796e-26
"ENSG00000008256","CYTH3",1.18342034209576,3.52255306473526e-30,7.87959895050631e-26
"ENSG00000116584","ARHGEF2",-1.01570973950187,8.81158180279246e-30,1.97106273346664e-25
"ENSG00000140545","MFGE8",1.11110678381399,2.23081104958415e-29,4.99010123681479e-25
"ENSG00000154864","PIEZO2",-2.56719679987546,3.80518987878928e-29,8.51182923986374e-25
"ENSG00000177283","FZD8",2.48852070439976,6.47727249842107e-29,1.44890108517181e-24
"ENSG00000146592","CREB5",-2.046628664961,1.13151319654258e-28,2.5310818693461e-24
"ENSG00000072958","AP1M1",1.08552346729648,1.65990016541417e-28,3.71303068001495e-24
"ENSG00000133216","EPHB2",-1.77057798979371,2.58357938238317e-28,5.7792087204529e-24
"ENSG00000205978","NYNRIN",-1.15645414959762,3.81622541299589e-28,8.5365146263305e-24
"ENSG00000243244","STON1",1.41182187725466,4.427905730776e-28,9.90478232917283e-24
"ENSG00000136546","SCN7A",1.3687112893585,5.65973733130134e-28,1.2660266436388e-23
"ENSG00000096060","FKBP5",4.04665580469634,7.14198282960791e-28,1.59759013915499e-23
"ENSG00000163491","NEK10",-2.49613373469984,1.06246409050362e-27,2.37662592404756e-23
"ENSG00000092621","PHGDH",-1.42678401438322,1.14904912924135e-27,2.57030799719997e-23
"ENSG00000187498","COL4A1",1.31570366035528,1.47542229918487e-27,3.30037214104663e-23
"ENSG00000166482","MFAP4",-0.968274758967224,2.21746379222112e-27,4.96024475681942e-23
"ENSG00000233117",NA,3.38934492966134,2.44342939893233e-27,5.46570722247173e-23
"ENSG00000123243","ITIH5",-0.955573126518609,3.61086794604788e-27,8.07715050851451e-23
"ENSG00000127083","OMD",1.81291268121077,3.71609297439717e-27,8.31252837442904e-23
"ENSG00000165507","DEPP1",1.55342018026182,4.1465544686095e-27,9.2754276908326e-23
"ENSG00000183160","TMEM119",-1.173067817913,4.55106200742464e-27,1.01802706044082e-22
"ENSG00000177666","PNPLA2",1.10018868114872,9.44176574827071e-27,2.11202858023068e-22
"ENSG00000069431","ABCC9",1.05714975687123,1.02690045911553e-26,2.29707363699553e-22
"ENSG00000102466","FGF14",1.21728047997963,1.09998160380987e-26,2.4605488495623e-22
"ENSG00000131386","GALNT15",1.61544264468316,1.57021221696774e-26,3.51240770813513e-22
"ENSG00000180914","OXTR",1.87564343690264,1.63699479301095e-26,3.66179365248619e-22
"ENSG00000162496","DHRS3",1.08717451706399,1.91334722070777e-26,4.27996639800122e-22
"ENSG00000177674","AGTRAP",1.11486449160684,1.98024682094779e-26,4.42961411377811e-22
"ENSG00000099204","ABLIM1",1.42729039928487,3.45301452348136e-26,7.72404818757545e-22
"ENSG00000126878","AIF1L",-2.66905405645202,4.35229169222321e-26,9.7356412863341e-22
"ENSG00000127954","STEAP4",5.20719450324341,4.54993962223486e-26,1.01777599409772e-21
"ENSG00000148120","AOPEP",1.10415043658279,7.10033821997292e-26,1.58827465642574e-21
"ENSG00000169738","DCXR",2.09813133420349,7.30665026241503e-26,1.63442459719962e-21
"ENSG00000112773","TENT5A",-1.19801733239045,7.38962390151076e-26,1.65298497052894e-21
"ENSG00000197043","ANXA6",0.921971419617556,7.51706000669896e-26,1.68149115289849e-21
"ENSG00000125848","FLRT3",-2.48121184028894,1.27867467616757e-25,2.86026738311924e-21
"ENSG00000035664","DAPK2",1.68367750571159,1.47802922439597e-25,3.30620357205135e-21
"ENSG00000110900","TSPAN11",-1.46521443786069,1.9262817767113e-25,4.30889970632551e-21
"ENSG00000023909","GCLM",1.22205211540791,2.2608944486781e-25,5.05739479224804e-21
"ENSG00000164742","ADCY1",-2.58876757555526,2.52447442910699e-25,5.64699685046942e-21
"ENSG00000091527","CDV3",0.765732505663224,2.54781692921501e-25,5.69921168896107e-21
"ENSG00000138073","PREB",1.101391607711,3.79227003351262e-25,8.48292883796437e-21
"ENSG00000163697","APBB2",1.08036469590318,4.4855583365581e-25,1.00337454430468e-20
"ENSG00000131446","MGAT1",0.865562779524341,4.91832489869424e-25,1.10018009658891e-20
"ENSG00000120837","NFYB",1.03567282397888,6.60402468400065e-25,1.47725428156411e-20
"ENSG00000174136","RGMB",-0.969439336804878,7.10144970795755e-25,1.58852328517302e-20
"ENSG00000102554","KLF5",2.48258719825573,7.68382484328617e-25,1.71879477919468e-20
"ENSG00000172061","LRRC15",-2.55621888982218,8.54196268948367e-25,1.9107516340106e-20
"ENSG00000183044","ABAT",1.15702182011066,8.58413745705072e-25,1.92018570776768e-20
"ENSG00000164292","RHOBTB3",1.04715640572106,8.69584345490996e-25,1.94517322242881e-20
"ENSG00000132356","PRKAA1",0.867614466606513,1.20842399478068e-24,2.7031236339249e-20
"ENSG00000152580","IGSF10",-1.15567352196433,1.40374594660111e-24,3.14003930795203e-20
"ENSG00000013297","CLDN11",-1.77431238231774,1.48067620360661e-24,3.31212459984763e-20
"ENSG00000099194","SCD",-1.99194980655678,1.5735045670143e-24,3.51977236595429e-20
"ENSG00000164070","HSPA4L",-1.32190430382008,1.79608493983854e-24,4.01766240192483e-20
"ENSG00000173221","GLRX",1.00432558167038,2.16524408282731e-24,4.84343448887641e-20
"ENSG00000237697",NA,2.02454211857921,2.19211749778203e-24,4.90354763078861e-20
"ENSG00000008311","AASS",1.09573405387444,3.40880311812965e-24,7.62515169494422e-20
"ENSG00000126950","TMEM35A",-1.70805337465226,4.85071954987205e-24,1.08505745611088e-19
"ENSG00000152601","MBNL1",0.862375823242222,5.37164618964529e-24,1.20158353616176e-19
"ENSG00000177614","PGBD5",-2.56961556427034,6.25596810581063e-24,1.39939750558878e-19
"ENSG00000088756","ARHGAP28",-1.64741702923749,6.8900718157967e-24,1.54124016447556e-19
"ENSG00000170624","SGCD",-1.13697014091693,8.01734653184903e-24,1.79340024570931e-19
"ENSG00000173068","BNC2",-0.868721157973091,8.83621998445334e-24,1.97657404832237e-19
"ENSG00000128510","CPA4",-2.26149500597904,9.47482230724421e-24,2.11942300190746e-19
"ENSG00000081052","COL4A4",1.91217224502784,1.2723315529059e-23,2.84607845069521e-19
"ENSG00000164484","TMEM200A",-1.20636529704768,1.45757925577287e-23,3.26045903723834e-19
"ENSG00000103502","CDIPT",0.823353159182754,1.66843953972015e-23,3.73213240640001e-19
"ENSG00000118689","FOXO3",1.2601076308411,1.7198365508669e-23,3.84710238063416e-19
"ENSG00000127824","TUBA4A",-1.56104125976037,1.85958205463646e-23,4.1596990980163e-19
"ENSG00000181061","HIGD1A",1.20054689403499,2.31696701003639e-23,5.18282350475041e-19
"ENSG00000198431","TXNRD1",1.50018185426889,2.60308097301052e-23,5.82283182852724e-19
"ENSG00000134253","TRIM45",-1.95836192253145,3.26427116375189e-23,7.30184816619661e-19
"ENSG00000167992","VWCE",-1.52418540518515,3.27604447029762e-23,7.32818387560874e-19
"ENSG00000132970","WASF3",1.10803524668365,3.28846377521138e-23,7.35596461877033e-19
"ENSG00000173517","PEAK1",0.989601616645476,3.82691137293794e-23,8.56041805012488e-19
"ENSG00000113580","NR3C1",-0.981292942262372,3.88755307109082e-23,8.69606746472306e-19
"ENSG00000179820","MYADM",1.49816941821397,4.58396077422342e-23,1.02538618558604e-18
"ENSG00000136436","CALCOCO2",1.13535688549616,5.33253948971589e-23,1.19283575845455e-18
"ENSG00000143891","GALM",-1.11689256232161,5.5245677727396e-23,1.23579056508412e-18
"ENSG00000106123","EPHB6",1.40727030340584,6.3541488088534e-23,1.42135954705242e-18
"ENSG00000003402","CFLAR",1.19046752343506,7.79593499202881e-23,1.74387269836692e-18
"ENSG00000137962","ARHGAP29",1.1557415271315,1.00235502918308e-22,2.24216796477964e-18
"ENSG00000167552","TUBA1A",-1.21477579613307,1.00819083917606e-22,2.25522208815294e-18
"ENSG00000134318","ROCK2",0.808546333885044,1.042551196424e-22,2.33208277128084e-18
"ENSG00000165272","AQP3",-2.91949091320028,1.16973723356907e-22,2.61658521777064e-18
"ENSG00000145244","CORIN",1.92741174951173,1.42712492754718e-22,3.19233575043029e-18
"ENSG00000145675","PIK3R1",1.54463687317833,1.45164688580749e-22,3.24718891886278e-18
"ENSG00000071242","RPS6KA2",0.924198507547413,1.58945362302285e-22,3.55544880933982e-18
"ENSG00000140807","NKD1",2.42857049782243,2.28997048562123e-22,5.12243497928612e-18
"ENSG00000106615","RHEB",0.947247226162695,2.88326918156403e-22,6.44958483224057e-18
"ENSG00000198542","ITGBL1",1.02857453678443,3.44119082319652e-22,7.69759975240829e-18
"ENSG00000128342","LIF",-2.60746280668719,4.6981309269399e-22,1.05092490704719e-17
"ENSG00000103175","WFDC1",1.75598347970068,5.69440037083423e-22,1.27378041895191e-17
"ENSG00000128699","ORMDL1",0.998466847885605,6.4010578318069e-22,1.43185262639689e-17
"ENSG00000116991","SIPA1L2",-2.58269041327238,7.09928909390972e-22,1.58803997741667e-17
"ENSG00000120690","ELF1",0.915949241457896,7.14050143715962e-22,1.59725876647823e-17
"ENSG00000111859","NEDD9",1.62364151376885,1.04394606922988e-21,2.33520296226032e-17
"ENSG00000100784","RPS6KA5",-2.50693103006186,1.06560386678296e-21,2.38364928960681e-17
"ENSG00000169218","RSPO1",1.40334503438599,1.14214249882169e-21,2.55485855561423e-17
"ENSG00000173838","MARCHF10",3.90215386434694,1.25040101465573e-21,2.79702202968341e-17
"ENSG00000185813","PCYT2",1.11644926543004,1.54738090872493e-21,3.4613363547268e-17
"ENSG00000140105","WARS1",-1.30533454313598,1.60528248594454e-21,3.59085639280934e-17
"ENSG00000168542","COL3A1",-0.851482111543871,2.05061407182445e-21,4.5870186172641e-17
"ENSG00000033867","SLC4A7",-0.926493932094009,2.13032914771035e-21,4.76533327051329e-17
"ENSG00000084090","STARD7",1.24981510735264,2.13318799583165e-21,4.77172822787582e-17
"ENSG00000185022","MAFF",1.26741903159647,2.15320926968117e-21,4.81651381534981e-17
"ENSG00000175130","MARCKSL1",-1.12386055554653,2.20881298246222e-21,4.94089376046974e-17
"ENSG00000182552","RWDD4",1.11405166891585,3.3316602522862e-21,7.45259081833899e-17
"ENSG00000128311","TST",1.29728801471496,3.60911914859852e-21,8.07323862350002e-17
"ENSG00000131771","PPP1R1B",-2.99864891691848,4.07185486035394e-21,9.10833213712573e-17
"ENSG00000138604","GLCE",0.921885201908399,4.74914305238391e-21,1.06233580938776e-16
"ENSG00000157514","TSC22D3",3.19020334503589,4.75103770181709e-21,1.06275962351947e-16
"ENSG00000129116","PALLD",0.848767431181881,4.82855689837208e-21,1.08009989259685e-16
"ENSG00000124151","NCOA3",1.35630052639361,5.3690576349459e-21,1.20100450236105e-16
"ENSG00000100033","PRODH",4.88987089850063,5.60326685334779e-21,1.25339476242537e-16
"ENSG00000083223","TUT7",1.10850040461271,5.63194730364318e-21,1.25981029235194e-16
"ENSG00000250978","LOC101928819",6.32664121471968,8.33219809334066e-21,1.86382939149937e-16
"ENSG00000107796","ACTA2",1.14311836550028,1.03508906888985e-20,2.31539073819971e-16
"ENSG00000116132","PRRX1",-0.770417416934327,1.07208136038872e-20,2.39813879505352e-16
"ENSG00000108604","SMARCD2",1.24446842579819,1.14227753832318e-20,2.55516062547511e-16
"ENSG00000117461","PIK3R3",-1.70093539531173,1.15438400014171e-20,2.58224156991698e-16
"ENSG00000176771","NCKAP5",-2.22089624905594,1.3787003871797e-20,3.08401489608227e-16
"ENSG00000116711","PLA2G4A",-2.45100061045968,1.4784618308472e-20,3.3071712694221e-16
"ENSG00000172260","NEGR1",1.45006959869478,1.956125302602e-20,4.37565668939042e-16
"ENSG00000196950","SLC39A10",-1.2270197913081,2.39645042459264e-20,5.36061995477129e-16
"ENSG00000171132","PRKCE",-1.201042446856,2.46743884440781e-20,5.51941395105582e-16
"ENSG00000169764","UGP2",0.888419682575373,2.66669562323643e-20,5.96513143961757e-16
"ENSG00000186594","MIR22HG",0.840711914269435,2.81136574476188e-20,6.28874403445784e-16
"ENSG00000166825","ANPEP",1.06272002307905,3.27638653597185e-20,7.32894904231544e-16
"ENSG00000185745","IFIT1",-1.66406787680289,3.3658873506619e-20,7.5291534146956e-16
"ENSG00000169744","LDB2",-1.33603771446523,3.5505745693288e-20,7.94228025413158e-16
"ENSG00000170775","GPR37",1.49071133019358,3.76306680254428e-20,8.4176041306113e-16
"ENSG00000184254","ALDH1A3",-1.02791763592374,3.81389561110937e-20,8.53130309249055e-16
"ENSG00000159212","CLIC6",1.04374207868098,4.68554038493447e-20,1.04810852870599e-15
"ENSG00000157613","CREB3L1",-0.983188428793931,4.80754444248412e-20,1.07539961633927e-15
"ENSG00000108830","RND2",-2.36318186616242,5.24117118575166e-20,1.17239758254079e-15
"ENSG00000221968","FADS3",1.00477360489333,5.57746390113942e-20,1.24762290004588e-15
"ENSG00000174697","LEP",3.03064833539841,5.63181045755238e-20,1.25977968124989e-15
"ENSG00000162878","PKDCC",1.55813043590488,6.3367154953999e-20,1.417459889166e-15
"ENSG00000113719","ERGIC1",0.744996104234852,8.02851890690134e-20,1.79589939428476e-15
"ENSG00000137393","RNF144B",2.12481143008469,8.03737071180802e-20,1.79787945452434e-15
"ENSG00000116962","NID1",1.48124750777837,1.09329495079037e-19,2.44559147542299e-15
"ENSG00000152779","SLC16A12",4.12297753625613,1.2501971914598e-19,2.79656609757643e-15
"ENSG00000115419","GLS",1.19356613869822,1.33443724102327e-19,2.98500266444495e-15
"ENSG00000138074","SLC5A6",1.20730805924569,1.46885209513548e-19,3.28567525160855e-15
"ENSG00000154262","ABCA6",1.01799687153043,1.52703835628852e-19,3.41583209918178e-15
"ENSG00000114853","ZBTB47",0.748937923868032,1.6188337742859e-19,3.62116926970014e-15
"ENSG00000165802","NSMF",0.944683982848975,1.67094518271532e-19,3.73773727921591e-15
"ENSG00000172985","SH3RF3",0.88940305540092,1.6942293034091e-19,3.78982152879582e-15
"ENSG00000197769","MAP1LC3C",2.45018202497472,1.7599837933824e-19,3.93690774741708e-15
"ENSG00000179593","ALOX15B",9.50599798266229,1.85248950759838e-19,4.14383377954683e-15
"ENSG00000074590","NUAK1",1.36110368064387,2.08424243764467e-19,4.66224190876736e-15
"ENSG00000109654","TRIM2",-0.874911408394543,2.0849387300814e-19,4.66379944531909e-15
"ENSG00000168556","ING2",1.27795343639253,2.29663608253709e-19,5.13734525302721e-15
"ENSG00000157110","RBPMS",0.895106289191474,2.34149965904059e-19,5.2377005873079e-15
"ENSG00000137767","SQOR",1.03357440953128,2.73762032092937e-19,6.1237828958869e-15
"ENSG00000162545","CAMK2N1",0.810990653454646,3.23650848195714e-19,7.23974582328992e-15
"ENSG00000019995","ZRANB1",0.927603246502672,4.23079068007938e-19,9.46385567226956e-15
"ENSG00000139329","LUM",-0.892101714315535,4.74425877807225e-19,1.06124324606698e-14
"ENSG00000139567","ACVRL1",0.848471268096096,4.77017343946635e-19,1.06704009667423e-14
"ENSG00000103064","SLC7A6",1.40150236074718,5.45509214475037e-19,1.22024956185921e-14
"ENSG00000143507","DUSP10",-1.18489647630646,5.62992178313255e-19,1.25935720366892e-14
"ENSG00000075213","SEMA3A",-1.2075868651501,5.64764087488578e-19,1.2633207873032e-14
"ENSG00000131080","EDA2R",-0.947935301263117,6.75493145485016e-19,1.51101061713543e-14
"ENSG00000170989","S1PR1",-1.48500025588376,7.14131670491459e-19,1.59744113372234e-14
"ENSG00000146411","SLC2A12",-0.918616596690634,7.29426362164723e-19,1.63165382952627e-14
"ENSG00000183876","ARSI",-1.68666427233851,7.42397733811595e-19,1.66066949076316e-14
"ENSG00000126785","RHOJ",-1.21557919087365,8.4075440665198e-19,1.88068353223981e-14
"ENSG00000135069","PSAT1",-1.29758963475342,8.49935360891245e-19,1.90122040877763e-14
